genome_id	genome_name	assembly_accession	genbank_accessions	chromosomes	plasmids	contigs	Genome_download	Plasmid_check	RGI_status	Accession_usado	Plasmids_detected
DSG0170	Escherichia coli strain UPEC-774U/190308	GCA_019443685.1	CP049852,CP049856,CP049855,CP049854,CP049853	1.0	4	5	completado	verificado	Pendiente	GCA_019443685.1	4
DSG0171	Escherichia coli strain UPEC_U013	GCA_014522245.1	CP058596	1.0	0	1	completado	verificado	Pendiente	GCA_014522245.1	0
DSG0172	Escherichia coli O157:H7 strain Z1813	GCA_017164995.1	CP062725,CP062726	1.0	1	2	completado	verificado	Pendiente	GCA_017164995.1	1
DSG0173	Escherichia coli O104:H4 strain FDAARGOS_348	Unavailable	CP022086,CP022085,CP022087	1.0	2	3	completado	verificado	Pendiente	CP022086,CP022085,CP022087	2
DSG0174	Escherichia coli strain EcPF18	GCA_013372325.1	CP054219,CP054220,CP054221,CP054222,CP054223	1.0	4	5	completado	verificado	Pendiente	GCA_013372325.1	4
DSG0175	Escherichia coli strain ST648	GCF_001485455.1	CP008697,CP008715,CP008716,CP008717,CP008718,CP008719,CP008720,CP008721	1.0	7	8	completado	verificado	Pendiente	GCF_001485455.1	7
DSG0176	Shigella boydii strain 183	GCA_009738325.1	CP024694	1.0	0	1	completado	verificado	Pendiente	GCA_009738325.1	0
DSG0177	Shigella boydii strain 192	GCA_009738345.1	CP024695	1.0	0	1	completado	verificado	Pendiente	GCA_009738345.1	0
DSG0178	Shigella boydii strain 600080	GCA_013394495.1	CP049606,CP049607	1.0	1	2	completado	verificado	Pendiente	GCA_013394495.1	1
DSG0179	Shigella boydii strain 600657	GCA_013394535.1	CP049281,CP049282,CP049284,CP049283	1.0	3	4	completado	verificado	Pendiente	GCA_013394535.1	3
DSG0180	Shigella boydii strain 600690	GCA_013394515.1	CP049278,CP049279,CP049280	1.0	2	3	completado	verificado	Pendiente	GCA_013394515.1	2
DSG0181	Shigella boydii strain 602068	GCA_013394555.1	CP049285,CP049286	1.0	1	2	completado	verificado	Pendiente	GCA_013394555.1	1
DSG0182	Shigella boydii strain 80	GCA_009738285.1	CP024693	1.0	0	1	completado	verificado	Pendiente	GCA_009738285.1	0
DSG0183	Shigella boydii strain ATCC 9210	GCF_001027225.1	CP011511	1.0	0	1	completado	verificado	Pendiente	GCF_001027225.1	0
DSG0184	Shigella flexneri 1c strain Y394	GCA_002442995.1	CP020753	1.0	0	1	completado	verificado	Pendiente	GCA_002442995.1	0
DSG0185	Shigella flexneri 3a strain 888048	GCA_016598675.1	CP066809	1.0	0	1	completado	verificado	Pendiente	GCA_016598675.1	0
DSG0186	Shigella flexneri 5a str. M90T	GCA_004799585.1	CP037923,CP037924	1.0	1	2	completado	verificado	Pendiente	GCA_004799585.1	1
DSG0187	Shigella flexneri strain 113	GCA_009738305.1	CP024982	1.0	0	1	completado	verificado	Pendiente	GCA_009738305.1	0
DSG0188	Shigella flexneri strain 201	GCA_009738265.1	CP024981	1.0	0	1	completado	verificado	Pendiente	GCA_009738265.1	0
DSG0189	Shigella flexneri strain 36P	GCA_009738365.1	CP024983	1.0	0	1	completado	verificado	Pendiente	GCA_009738365.1	0
DSG0190	Shigella flexneri strain 5908.2	GCA_009931475.1	CP045522,CP045523	1.0	1	2	completado	verificado	Pendiente	GCA_009931475.1	1
DSG0191	Shigella flexneri strain 837	GCA_009738385.1	CP024984	1.0	0	1	completado	verificado	Pendiente	GCA_009738385.1	0
DSG0192	Shigella flexneri strain M2901	GCA_013402835.1	CP058589,CP058590,CP058591,CP058592,CP058593	1.0	4	5	completado	verificado	Pendiente	GCA_013402835.1	4
DSG0193	Shigella flexneri strain SFL1520	GCA_004171185.1	CP032513	1.0	0	1	completado	verificado	Pendiente	GCA_004171185.1	0
DSG0194	Shigella sonnei strain 09163633	GCA_013146765.1	CP049167,CP049168	1.0	1	2	completado	verificado	Pendiente	GCA_013146765.1	1
DSG0195	Shigella sonnei strain 19.0820.1561	GCA_013147065.1	CP049173,CP049174	1.0	1	2	completado	verificado	Pendiente	GCA_013147065.1	1
DSG0196	Shigella sonnei strain 19.0821.3486	GCA_013146845.1	CP049185,CP049186	1.0	1	2	completado	verificado	Pendiente	GCA_013146845.1	1
DSG0197	Shigella sonnei strain 19.0822.3296	GCA_013147245.1	CP049183,CP049184	1.0	1	2	completado	verificado	Pendiente	GCA_013147245.1	1
DSG0198	Shigella sonnei strain 19.1125.3493	GCA_013146785.1	CP049169,CP049170	1.0	1	2	completado	verificado	Pendiente	GCA_013146785.1	1
DSG0199	Shigella sonnei strain 3123885	GCA_013146725.1	CP049163,CP049164	1.0	1	2	completado	verificado	Pendiente	GCA_013146725.1	1
DSG0200	Shigella sonnei strain 6207	GCA_014725795.1	CP061367,CP061363,CP061364,CP061365,CP061366	1.0	4	5	completado	verificado	Pendiente	GCA_014725795.1	4
DSG0201	Shigella sonnei strain 6607.69	GCA_009931515.1	CP045526,CP045527	1.0	1	2	completado	verificado	Pendiente	GCA_009931515.1	1
DSG0202	Shigella sonnei strain 6904.27	Unavailable	CP045524,CP045525	1.0	1	2	completado	verificado	Pendiente	CP045524,CP045525	1
DSG0203	Shigella sonnei strain 7111.69	GCA_013147165.1	CP049175,CP049176	1.0	1	2	completado	verificado	Pendiente	GCA_013147165.1	1
DSG0204	Shigella sonnei strain 75/02	Unavailable	CP019689,CP019690,CP019691,CP019692,CP019693,CP019694,CP019695,CP019696	1.0	7	8	completado	verificado	Pendiente	CP019689,CP019690,CP019691,CP019692,CP019693,CP019694,CP019695,CP019696	7
DSG0205	Shigella sonnei strain 866	GCA_003265245.1	CP022672,CP022673	1.0	1	2	completado	verificado	Pendiente	GCA_003265245.1	1
DSG0206	Shigella sonnei strain 893916	GCA_016598715.1	CP066810	1.0	0	1	completado	verificado	Pendiente	GCA_016598715.1	0
DSG0207	Shigella sonnei strain FC1428	GCA_006843305.1	CP041322	1.0	0	1	completado	verificado	Pendiente	GCA_006843305.1	0
DSG0208	Shigella sonnei strain FDAARGOS_90	GCF_001558295.1	CP014099,CP014096,CP014097,CP014098,CP014100,CP014101	1.0	5	6	completado	verificado	Pendiente	GCF_001558295.1	5
DSG0209	Shigella sonnei strain FORC_011	GCF_001518855.1	CP010829,CP010830,CP010831,CP010832	1.0	3	4	completado	verificado	Pendiente	GCF_001518855.1	3
DSG0210	Shigella sonnei strain LC1477/18	GCA_004328985.1	CP035008,CP035009,CP035010,CP035011	1.0	3	4	completado	verificado	Pendiente	GCA_004328985.1	3
DSG0211	Shigella sonnei strain UKMCC_1015	GCA_014217935.1	CP060117,CP060118,CP060119	1.0	2	3	completado	verificado	Pendiente	GCA_014217935.1	2
